outcome,outcome_label,model,model_description,sample,formula,n,term,coefficient_log_scale,standard_error_hc3,ci_low_log_scale,ci_high_log_scale,p_value,r_squared,adjusted_r_squared,aic_nonrobust_likelihood,bic_nonrobust_likelihood,percent_difference,percent_ci_low,percent_ci_high
daly_rate,DALY Rate,M0_unadjusted,Unadjusted regulation association,model_specific_complete_case,log_daly_rate ~ reg_binary,163,Intercept,10.582381082864535,0.03861315076490491,10.506700698035706,10.658061467693363,0.0,0.14060061598676699,0.13526273161401403,42.85400444334232,49.041504844955845,,,
daly_rate,DALY Rate,M0_unadjusted,Unadjusted regulation association,model_specific_complete_case,log_daly_rate ~ reg_binary,163,reg_binary,-0.2223742081734802,0.04551298614463307,-0.3115780218458315,-0.13317039450112889,1.0293093495949343e-06,0.14060061598676699,0.13526273161401403,42.85400444334232,49.041504844955845,-19.9384288671142,-26.770952637800104,-12.468406962032441
daly_rate,DALY Rate,M1_development,Adjusted for log GDP per capita,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp,160,Intercept,10.471013191267744,0.03113443312428634,10.409990823665073,10.532035558870415,0.0,0.38953468016546766,0.3817580518873207,-7.812546261947205,1.4129751837542752,,,
daly_rate,DALY Rate,M1_development,Adjusted for log GDP per capita,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp,160,reg_binary,-0.025176423382293867,0.04265249835474944,-0.10877378400825669,0.05842093724366895,0.5550106989555901,0.38953468016546766,0.3817580518873207,-7.812546261947205,1.4129751837542752,-2.486214026766187,-10.306670479481816,6.016116311730779
daly_rate,DALY Rate,M1_development,Adjusted for log GDP per capita,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp,160,z_log_gdp_per_capita_ppp,-0.17829854544919865,0.02198200837196267,-0.22138249016610342,-0.13521460073229388,5.01583405893173e-16,0.38953468016546766,0.3817580518873207,-7.812546261947205,1.4129751837542752,,,
daly_rate,DALY Rate,M2_primary,"Primary model: GDP, age structure, urbanization, and World Bank region",model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),160,Intercept,10.393391103543387,0.044398481749272266,10.306371678346554,10.480410528740219,0.0,0.6909498367747329,0.670208215081762,-100.7274073039622,-66.9004953363901,,,
daly_rate,DALY Rate,M2_primary,"Primary model: GDP, age structure, urbanization, and World Bank region",model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),160,C(wb_region)[T.Europe & Central Asia],0.04377380360900285,0.058705357259111975,-0.07128658231841364,0.15883418953641934,0.4558772857327491,0.6909498367747329,0.670208215081762,-100.7274073039622,-66.9004953363901,,,
daly_rate,DALY Rate,M2_primary,"Primary model: GDP, age structure, urbanization, and World Bank region",model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),160,C(wb_region)[T.Latin America & Caribbean],0.0498717645841259,0.053078621839294626,-0.05416042256991273,0.1539039517381645,0.3474315592054753,0.6909498367747329,0.670208215081762,-100.7274073039622,-66.9004953363901,,,
daly_rate,DALY Rate,M2_primary,"Primary model: GDP, age structure, urbanization, and World Bank region",model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),160,"C(wb_region)[T.Middle East, North Africa, Afghanistan & Pakistan]",-0.06357573415535867,0.05557806005124558,-0.17250673018640436,0.04535526187568703,0.25266517625739515,0.6909498367747329,0.670208215081762,-100.7274073039622,-66.9004953363901,,,
daly_rate,DALY Rate,M2_primary,"Primary model: GDP, age structure, urbanization, and World Bank region",model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),160,C(wb_region)[T.North America],0.1737191310043631,0.16768414489646702,-0.1549357537711082,0.5023740157798344,0.30020671395851184,0.6909498367747329,0.670208215081762,-100.7274073039622,-66.9004953363901,,,
daly_rate,DALY Rate,M2_primary,"Primary model: GDP, age structure, urbanization, and World Bank region",model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),160,C(wb_region)[T.South Asia],-0.10581669182253417,0.0881322894866158,-0.2785528050913592,0.06691942144629087,0.22988409770227347,0.6909498367747329,0.670208215081762,-100.7274073039622,-66.9004953363901,,,
daly_rate,DALY Rate,M2_primary,"Primary model: GDP, age structure, urbanization, and World Bank region",model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),160,C(wb_region)[T.Sub-Saharan Africa],0.3114384438841642,0.06657493437421703,0.18095397023758117,0.4419229175307472,2.896674347676097e-06,0.6909498367747329,0.670208215081762,-100.7274073039622,-66.9004953363901,,,
