outcome,excluded_country,n,baseline_coefficient,leave_one_out_coefficient,coefficient_change,percent_difference,percent_ci_low,percent_ci_high,p_value
daly_rate,Maldives,159,-0.034003598560146564,-0.04461702550291047,-0.010613426942763904,-4.36363253953057,-10.748886206096975,2.478438556570084,0.20567841485278815
daly_rate,Guyana,159,-0.034003598560146564,-0.042023404259817265,-0.008019805699670701,-4.1152660802378005,-10.659286723152462,2.9080904063721214,0.24395536702990217
daly_rate,United States,159,-0.034003598560146564,-0.03408402691790552,-8.042835775895485e-05,-3.3509709974808732,-10.056324916811166,3.8542710033836913,0.35284564903094606
daly_rate,Canada,159,-0.034003598560146564,-0.0340840269179076,-8.042835776103652e-05,-3.350970997481073,-10.056324916811398,3.8542710033835137,0.35284564903091975
daly_rate,Tajikistan,159,-0.034003598560146564,-0.04025692936722666,-0.006253330807080099,-3.9457384160879627,-10.498185585813024,3.0864148265592473,0.2641080334251035
daly_rate,Kyrgyzstan,159,-0.034003598560146564,-0.024314022909916994,0.00968957565022957,-2.4020818190661153,-8.96399960993054,4.6328220971725065,0.493544873002964
daly_rate,Haiti,159,-0.034003598560146564,-0.029077383543975377,0.004926215016171187,-2.8658704273642366,-9.603794753349714,4.374283213434094,0.4279281934499234
daly_rate,Japan,159,-0.034003598560146564,-0.0418875700741731,-0.007883971514026533,-4.102240770868981,-10.93015387559133,3.2490862544356736,0.26634867164914067
daly_rate,Palau,159,-0.034003598560146564,-0.02736073551645879,0.0066428630436877745,-2.698982112163606,-9.408323285426668,4.507261873938129,0.4529114920146593
daly_rate,Comoros,159,-0.034003598560146564,-0.03763748218820581,-0.003633883628059248,-3.693799525297281,-10.420175262428955,3.537646752992707,0.3082693218662146
daly_rate,Tuvalu,159,-0.034003598560146564,-0.03107874895101914,0.0029248496091274223,-3.0600769102419823,-9.804661368696388,4.18885090128942,0.3982876902956727
death_rate,Qatar,159,-0.03760724116777375,-0.03273053727691086,0.0048767038908628935,-3.2200689706287644,-11.417529864241772,5.735988573081352,0.46856247561864495
death_rate,Japan,159,-0.03760724116777375,-0.056337330828417714,-0.01873008966064396,-5.477976981822752,-13.477055228046119,3.260619006865917,0.21175385892890497
death_rate,United States,159,-0.03760724116777375,-0.03770099756220478,-9.37563944310299e-05,-3.699916255383595,-12.112719118147918,5.518182337292754,0.4189016269129102
death_rate,Canada,159,-0.03760724116777375,-0.03770099756220677,-9.375639443301442e-05,-3.699916255383795,-12.112719118148107,5.518182337292554,0.418901626912886
death_rate,Guyana,159,-0.03760724116777375,-0.04689662186243683,-0.009289380694663077,-4.581396553303307,-12.940813048734956,4.580690476867133,0.3160963253054522
death_rate,United Arab Emirates,159,-0.03760724116777375,-0.03271450411099161,0.004892737056782143,-3.2185172694976116,-11.518315881988128,5.85982277441528,0.4745244794550252
death_rate,Kyrgyzstan,159,-0.03760724116777375,-0.025973922955985787,0.011633318211787966,-2.5639502280951576,-10.834929496177882,6.474247611862327,0.5660425571777137
death_rate,Tajikistan,159,-0.03760724116777375,-0.044257345001586915,-0.006650103833813162,-4.329227815954429,-12.503137541970622,4.608284150554809,0.331420700478805
death_rate,Tuvalu,159,-0.03760724116777375,-0.0331192138805657,0.0044880272872080545,-3.2576777562222214,-11.687047851188137,5.97626605606405,0.4764405823095792
death_rate,Maldives,159,-0.03760724116777375,-0.04643658604138835,-0.0088293448736146,-4.537490479314332,-12.76716084028362,4.468578711529236,0.3127091621965402
death_rate,Egypt,159,-0.03760724116777375,-0.04344369458191809,-0.005836453414144335,-4.251353575108697,-12.688661538971669,5.001291399179775,0.35597967573569933
death_rate,Gabon,159,-0.03760724116777375,-0.03163507848819927,0.005972162679574483,-3.1139924539934416,-11.563346412468277,6.142623871605357,0.49681973825215986
death_rate,Palau,159,-0.03760724116777375,-0.029707209695388703,0.00790003147238505,-2.9270287807769746,-11.354245985561029,6.301332151715,0.5214314850973212
death_rate,Eswatini,159,-0.03760724116777375,-0.033020618304662755,0.004586622863110998,-3.248138921010668,-11.632519273909981,5.931758440232304,0.4752386834665342
