population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,294,All causes,3,Rate,2023,593.5497455718115,631.5129326421581,554.0691894118073
1,All Population,1,Deaths,41,Uzbekistan,3,Both,22,All ages,294,All causes,1,Number,2023,205121.17429509267,208942.02679233454,201271.37844075734
1,All Population,1,Deaths,41,Uzbekistan,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,41,Uzbekistan,3,Both,22,All ages,294,All causes,3,Rate,2023,580.3640579606841,591.1746701161043,569.4715542880605
1,All Population,1,Deaths,25,Micronesia (Federated States of),3,Both,22,All ages,294,All causes,1,Number,2023,857.6781470072226,890.7574009770095,824.4328457353299
1,All Population,1,Deaths,25,Micronesia (Federated States of),3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,25,Micronesia (Federated States of),3,Both,22,All ages,294,All causes,3,Rate,2023,829.1312310388141,861.1094767962913,796.9924646892165
1,All Population,1,Deaths,140,Bahrain,3,Both,22,All ages,294,All causes,1,Number,2023,4706.6263789149925,5105.0032206214355,4362.492601748816
1,All Population,1,Deaths,140,Bahrain,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,140,Bahrain,3,Both,22,All ages,294,All causes,3,Rate,2023,300.5232261477566,325.96002185954484,278.5499092506049
1,All Population,1,Deaths,44,Bosnia and Herzegovina,3,Both,22,All ages,294,All causes,1,Number,2023,37759.45079144801,39912.75299303784,35870.41902305869
1,All Population,1,Deaths,44,Bosnia and Herzegovina,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,44,Bosnia and Herzegovina,3,Both,22,All ages,294,All causes,3,Rate,2023,1182.9526813812038,1250.4127360113318,1123.7718631014907
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,22,All ages,294,All causes,1,Number,2023,70858.57250301675,75062.33642138037,67085.56305634722
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,22,All ages,294,All causes,3,Rate,2023,637.983039931042,675.8320960022157,604.0123296634548
1,All Population,1,Deaths,61,Republic of Moldova,3,Both,22,All ages,294,All causes,1,Number,2023,38281.29955150348,40014.92151357015,36302.571913965796
1,All Population,1,Deaths,61,Republic of Moldova,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,61,Republic of Moldova,3,Both,22,All ages,294,All causes,3,Rate,2023,1060.8132551100343,1108.853660693338,1005.9807251085778
1,All Population,1,Deaths,55,Slovenia,3,Both,22,All ages,294,All causes,1,Number,2023,21607.73750114117,22039.061098502098,21142.337043886095
1,All Population,1,Deaths,55,Slovenia,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,55,Slovenia,3,Both,22,All ages,294,All causes,3,Rate,2023,1020.9718410430097,1041.352005660412,998.9815349482194
1,All Population,1,Deaths,157,Yemen,3,Both,22,All ages,294,All causes,1,Number,2023,148295.9749751649,158572.17055075246,139797.6285376979
