country,iso_code,Year_x,regulation,region,regulation_label,ihme_country,Year_y,death_rate,daly_rate,country_for_merge,log_death_rate,log_daly_rate,reg_binary
Afghanistan,AFG,2023,No,Asia,Not regulated,Afghanistan,2023.0,491.4936660836482,39881.46184796041,Afghanistan,6.197449052594008,10.593666879571467,0
Albania,ALB,2023,Yes,Europe,Regulated,Albania,2023.0,866.4986528081694,30537.38335588021,Albania,6.76446055440335,10.326706895857685,1
Algeria,DZA,2023,Yes,Africa,Regulated,Algeria,2023.0,522.6764988904783,26867.01233354585,Algeria,6.258962723718008,10.198654505756716,1
Andorra,AND,2023,No,Europe,Not regulated,Andorra,2023.0,731.3025282744549,27336.90741043397,Andorra,6.594827229503878,10.215992987948395,0
Angola,AGO,2023,No,Africa,Not regulated,Angola,2023.0,678.1376717763378,48652.57946089073,Angola,6.519350323044686,10.792460106987443,0
Antigua and Barbuda,ATG,2023,No,North America,Not regulated,Antigua and Barbuda,2023.0,681.98707113361,30359.89163678906,Antigua and Barbuda,6.5250107003816735,10.320877662227474,0
Argentina,ARG,2023,Yes,South America,Regulated,Argentina,2023.0,786.1304774319902,29388.6752859034,Argentina,6.667122780474299,10.288364684763343,1
Armenia,ARM,2023,Yes,Asia,Regulated,Armenia,2023.0,813.1452016272904,30462.12318768307,Armenia,6.700909693388332,10.324239328146101,1
Australia,AUS,2023,Yes,Oceania,Regulated,Australia,2023.0,675.9949463626017,27082.778024488038,Australia,6.516185600220052,10.20665330760246,1
Austria,AUT,2023,Yes,Europe,Regulated,Austria,2023.0,976.5796329139432,30801.580332861715,Austria,6.884056296314803,10.335321277153875,1
Azerbaijan,AZE,2023,No,Asia,Not regulated,Azerbaijan,2023.0,661.3263720478753,32339.65391624171,Azerbaijan,6.494247472984023,10.384049431658925,0
Bahrain,BHR,2023,No,Asia,Not regulated,Bahrain,2023.0,300.5232261477566,20747.057823288887,Bahrain,5.705525042661482,9.94015972395673,0
Bangladesh,BGD,2023,Yes,Asia,Regulated,Bangladesh,2023.0,626.9874168786444,32050.302676122017,Bangladesh,6.440926471657448,10.375061906176985,1
Barbados,BRB,2023,No,North America,Not regulated,Barbados,2023.0,1082.3166073201462,37341.25712750408,Barbados,6.986859029653621,10.527854083575164,0
Belarus,BLR,2023,Yes,Europe,Regulated,Belarus,2023.0,1293.7255266460336,42154.490149378784,Belarus,7.165281340232658,10.649096485618205,1
Belgium,BEL,2023,Yes,Europe,Regulated,Belgium,2023.0,962.1476231227806,30620.536156561622,Belgium,6.869167893282371,10.329426179070186,1
Belize,BLZ,2023,No,North America,Not regulated,Belize,2023.0,488.9393134843013,27749.51792986344,Belize,6.192238378469333,10.230973747126875,0
Benin,BEN,2023,No,Africa,Not regulated,Benin,2023.0,672.8895709810423,48147.86898768963,Benin,6.511581231457794,10.782032158462643,0
Bhutan,BTN,2023,No,Asia,Not regulated,Bhutan,2023.0,667.3283804159244,31906.881852530405,Bhutan,6.503282249225354,10.370576997560367,0
Bosnia and Herzegovina,BIH,2023,No,Europe,Not regulated,Bosnia and Herzegovina,2023.0,1182.9526813812038,37910.2123168161,Bosnia and Herzegovina,7.075768864345956,10.54297580904379,0
Brazil,BRA,2023,Yes,South America,Regulated,Brazil,2023.0,693.2238067410108,32898.25896631066,Brazil,6.541352900501895,10.401175016396083,1
Bulgaria,BGR,2023,Yes,Europe,Regulated,Bulgaria,2023.0,1470.9879047000022,44102.6483953104,Bulgaria,7.293689498065935,10.694275113947178,1
Burkina Faso,BFA,2023,No,Africa,Not regulated,Burkina Faso,2023.0,649.3669619775732,46975.922601605766,Burkina Faso,6.475997983686524,10.75739046435715,0
Burundi,BDI,2023,No,Africa,Not regulated,Burundi,2023.0,799.5039143620558,58456.0815570902,Burundi,6.683991428274601,10.976031008657746,0
Cambodia,KHM,2023,No,Asia,Not regulated,Cambodia,2023.0,593.5497455718115,30346.69891019745,Cambodia,6.386121027844429,10.32044302319799,0
Cameroon,CMR,2023,Yes,Africa,Regulated,Cameroon,2023.0,774.5025462277397,52431.50921287868,Cameroon,6.6522209474276845,10.867263010444654,1
Canada,CAN,2023,Yes,North America,Regulated,Canada,2023.0,836.2277010380154,31742.33706533037,Canada,6.7289009456615165,10.365406622917632,1
Central African Republic,CAF,2023,No,Africa,Not regulated,Central African Republic,2023.0,1178.8557626887318,84291.07252717185,Central African Republic,7.072299554366981,11.342031237162228,0
Chad,TCD,2023,No,Africa,Not regulated,Chad,2023.0,1030.9721187123475,76592.14815901191,Chad,6.938257440695277,11.2462498460232,0
Chile,CHL,2023,Yes,South America,Regulated,Chile,2023.0,633.8814573628148,26998.64257285439,Chile,6.451861961186647,10.203541868643166,1
China,CHN,2023,Yes,Asia,Regulated,China,2023.0,745.1737830254323,27370.404975469144,China,6.613617456983271,10.21721759825223,1
Colombia,COL,2023,Yes,South America,Regulated,Colombia,2023.0,513.0738510107303,26232.72075785533,Colombia,6.240419793894899,10.174762794430006,1
Comoros,COM,2023,No,Africa,Not regulated,Comoros,2023.0,491.87488465961314,30845.721989285277,Comoros,6.198224384680383,10.336753348381803,0
Congo,COG,2023,No,Africa,Not regulated,Congo,2023.0,704.3191576164811,44953.53982519587,Congo,6.55723160231353,10.71338478708157,0
Costa Rica,CRI,2023,Yes,North America,Regulated,Costa Rica,2023.0,560.3041344635624,26965.774246907997,Costa Rica,6.328479733561616,10.20232372039112,1
Cote d'Ivoire,CIV,2023,No,Africa,Not regulated,Côte d'Ivoire,2023.0,700.6014156829295,50712.39143737392,Cote d'Ivoire,6.551939131433525,10.833925566765533,0
Croatia,HRV,2023,Yes,Europe,Regulated,Croatia,2023.0,1334.8702849101076,39269.541775934194,Croatia,7.196589401252196,10.578204478951244,1
Cuba,CUB,2023,Yes,North America,Regulated,Cuba,2023.0,1021.0456407985996,34926.58487652127,Cuba,6.928582519220994,10.461003562523501,1
Cyprus,CYP,2023,Yes,Asia,Regulated,Cyprus,2023.0,738.9440267094197,25977.14823405069,Cyprus,6.605222176143804,10.164972516457203,1
Czechia,CZE,2023,Yes,Europe,Regulated,Czechia,2023.0,1036.6564926725582,33949.4634165483,Czechia,6.943755902314784,10.432628327752907,1
Democratic Republic of Congo,COD,2023,No,Africa,Not regulated,Democratic Republic of the Congo,2023.0,827.8113375282734,56135.11949350348,Democratic Republic of Congo,6.718785275196047,10.935516911571534,0
Denmark,DNK,2023,Yes,Europe,Regulated,Denmark,2023.0,991.3867195134156,30931.63475251574,Denmark,6.899104689807237,10.339534717580706,1
Djibouti,DJI,2023,No,Africa,Not regulated,Djibouti,2023.0,610.0128933562213,39888.1193434299,Djibouti,6.413480093593524,10.593833797722107,0
Dominica,DMA,2023,Yes,North America,Regulated,Dominica,2023.0,942.4162086110942,34505.96640491582,Dominica,6.848447012039626,10.448887527340101,1
Ecuador,ECU,2023,Yes,South America,Regulated,Ecuador,2023.0,571.3638082488354,29479.33740610072,Ecuador,6.348026149059216,10.29144487000254,1
Egypt,EGY,2023,Yes,Africa,Regulated,Egypt,2023.0,620.5697715712599,30364.73728004956,Egypt,6.430638042434916,10.321037256229355,1
El Salvador,SLV,2023,No,North America,Not regulated,El Salvador,2023.0,761.133250780995,33613.41844055413,El Salvador,6.634808442114352,10.422680624578799,0
Estonia,EST,2023,Yes,Europe,Regulated,Estonia,2023.0,1204.331091869229,36800.81734149,Estonia,7.093679581311922,10.513275334276951,1
Eswatini,SWZ,2023,No,Africa,Not regulated,Eswatini,2023.0,996.2461777903872,57693.78952829716,Eswatini,6.903994393500214,10.96290481287825,0
Ethiopia,ETH,2023,Yes,Africa,Regulated,Ethiopia,2023.0,699.3798141768957,45889.64552101202,Ethiopia,6.550193962584083,10.733994782822371,1
Fiji,FJI,2023,No,Oceania,Not regulated,Fiji,2023.0,894.3005479586715,39781.34238923753,Fiji,6.7960419020754985,10.591153297168857,0
Finland,FIN,2023,Yes,Europe,Regulated,Finland,2023.0,1102.6277881799006,33119.18947433773,Finland,7.005451508250397,10.407868135806558,1
France,FRA,2023,Yes,Europe,Regulated,France,2023.0,907.1265673023064,30100.34204123608,France,6.810281985365646,10.312291814168619,1
Gabon,GAB,2023,No,Africa,Not regulated,Gabon,2023.0,745.2622401952981,42183.69015484912,Gabon,6.613736156704147,10.649788936096309,0
Gambia,GMB,2023,No,Africa,Not regulated,Gambia,2023.0,634.3969653239628,42041.40457680703,Gambia,6.452674886771938,10.64641023491819,0
Georgia,GEO,2023,Yes,Asia,Regulated,Georgia,2023.0,1218.4192177884129,39833.26193371865,Georgia,7.105309574428008,10.59245756922504,1
Germany,DEU,2023,Yes,Europe,Regulated,Germany,2023.0,1210.9533486442133,35278.85297997194,Germany,7.099163219808761,10.471038997686646,1
Ghana,GHA,2023,No,Africa,Not regulated,Ghana,2023.0,719.9273416486532,42507.81489993666,Ghana,6.579150292541032,10.657443218007163,0
Greece,GRC,2023,Yes,Europe,Regulated,Greece,2023.0,1236.7362113428942,35604.803168299266,Greece,7.120231100939455,10.48023582819702,1
Guatemala,GTM,2023,No,North America,Not regulated,Guatemala,2023.0,537.3443862388858,31295.123827194828,Guatemala,6.286639204110391,10.351217576123457,0
Guinea,GIN,2023,No,Africa,Not regulated,Guinea,2023.0,845.2766416878607,57133.3042276744,Guinea,6.739663960390724,10.95314248704364,0
Guinea-Bissau,GNB,2023,No,Africa,Not regulated,Guinea-Bissau,2023.0,804.5937438242108,54863.698026480575,Guinea-Bissau,6.690337483974908,10.912607170649945,0
Guyana,GUY,2023,Yes,South America,Regulated,Guyana,2023.0,830.8140376730757,40391.42220047913,Guyana,6.722405988432485,10.606372719635464,1
Haiti,HTI,2023,No,North America,Not regulated,Haiti,2023.0,935.2863781836796,55458.73179045157,Haiti,6.840852769219917,10.923394451805024,0
Honduras,HND,2023,No,North America,Not regulated,Honduras,2023.0,443.25911767735306,24653.400984387456,Honduras,6.094154514798826,10.112670140922782,0
Hungary,HUN,2023,Yes,Europe,Regulated,Hungary,2023.0,1324.5372407814332,40607.22940565903,Hungary,7.188818425177127,10.611701393917073,1
Iceland,ISL,2023,Yes,Europe,Regulated,Iceland,2023.0,664.7876789465762,25462.97691932607,Iceland,6.499467709895629,10.144980790622826,1
India,IND,2023,Yes,Asia,Regulated,India,2023.0,682.0642484630768,33556.58235279176,India,6.5251238593639505,10.420988318470254,1
Iraq,IRQ,2023,Yes,Asia,Regulated,Iraq,2023.0,506.4192768186972,30386.04121115306,Iraq,6.2273649364930925,10.321738611257418,1
Ireland,IRL,2023,Yes,Europe,Regulated,Ireland,2023.0,668.181486455389,25472.44766658214,Ireland,6.504559822947066,10.14535266333979,1
Israel,ISR,2023,Yes,Asia,Regulated,Israel,2023.0,508.5350234527624,21103.29599585149,Israel,6.2315340891300695,9.957184515599101,1
Italy,ITA,2023,Yes,Europe,Regulated,Italy,2023.0,1141.666542440329,32402.57241097848,Italy,7.04024435321682,10.385993094029343,1
Jamaica,JAM,2023,Yes,North America,Regulated,Jamaica,2023.0,711.2028622325878,31231.428571443124,Jamaica,6.566957708703109,10.349180192792979,1
Japan,JPN,2023,No,Asia,Not regulated,Japan,2023.0,1297.34579625788,34052.62452574769,Japan,7.1680757611624655,10.435662387190156,0
Jordan,JOR,2023,Yes,Asia,Regulated,Jordan,2023.0,310.0292696957682,20458.212822777503,Jordan,5.736666711395504,9.926139685875029,1
Kazakhstan,KAZ,2023,Yes,Asia,Regulated,Kazakhstan,2023.0,643.1143844821116,29374.611101453665,Kazakhstan,6.466322600301822,10.287886012259372,1
Kenya,KEN,2023,Yes,Africa,Regulated,Kenya,2023.0,536.2814075503861,33645.413848561526,Kenya,6.284659037385667,10.423632035994428,1
Kuwait,KWT,2023,Yes,Asia,Regulated,Kuwait,2023.0,195.5576160442604,18390.29045594147,Kuwait,5.275855047230436,9.819578111706454,1
Kyrgyzstan,KGZ,2023,Yes,Asia,Regulated,Kyrgyzstan,2023.0,435.6983193325104,24406.853645313688,Kyrgyzstan,6.076950075719837,10.102619258942916,1
Laos,LAO,2023,Yes,Asia,Regulated,Lao People's Democratic Republic,2023.0,801.1341045121632,40197.887897402485,Laos,6.686028354418466,10.601569733361236,1
Latvia,LVA,2023,Yes,Europe,Regulated,Latvia,2023.0,1471.8354072259956,43967.480690024335,Latvia,7.294265477293766,10.69120556442294,1
Lebanon,LBN,2023,Yes,Asia,Regulated,Lebanon,2023.0,532.0731711721944,27188.084681078744,Lebanon,6.2767810196812714,10.210534093110741,1
Lesotho,LSO,2023,No,Africa,Not regulated,Lesotho,2023.0,1185.465991120336,62912.74708761376,Lesotho,7.077891217721836,11.049504078557352,0
Liberia,LBR,2023,No,Africa,Not regulated,Liberia,2023.0,841.518548763522,58141.75410682586,Liberia,6.735208055887657,10.970639344053792,0
Liechtenstein,LIE,2023,Yes,Europe,Regulated,,,,,,,,1
Lithuania,LTU,2023,Yes,Europe,Regulated,Lithuania,2023.0,1362.068853201853,42081.56551268139,Lithuania,7.216760038443336,10.6473650499677,1
Luxembourg,LUX,2023,Yes,Europe,Regulated,Luxembourg,2023.0,650.4812104689405,24742.12575421925,Luxembourg,6.477712412783567,10.116262566031283,1
Madagascar,MDG,2023,No,Africa,Not regulated,Madagascar,2023.0,748.2113603640832,48815.46166189659,Madagascar,6.61768550539151,10.795802378992837,0
Malawi,MWI,2023,Yes,Africa,Regulated,Malawi,2023.0,751.5567346849618,48307.55842919885,Malawi,6.622146701599509,10.78534331661487,1
Malaysia,MYS,2023,No,Asia,Not regulated,Malaysia,2023.0,560.428057394469,24851.59902103796,Malaysia,6.328700879937729,10.120677376377657,0
Maldives,MDV,2023,No,Asia,Not regulated,Maldives,2023.0,353.97926955282014,18521.442482986877,Maldives,5.869238350833783,9.826684393017333,0
Mali,MLI,2023,No,Africa,Not regulated,Mali,2023.0,817.7542685589544,62325.43047987096,Mali,6.706561886287418,11.04012481538549,0
Malta,MLT,2023,Yes,Europe,Regulated,Malta,2023.0,732.6106496843163,26251.971515168843,Malta,6.596614387072684,10.175496370539271,1
Mauritius,MUS,2023,No,Africa,Not regulated,Mauritius,2023.0,1008.9887331791294,38384.207926888426,Mauritius,6.91670385396731,10.555401402084614,0
Mexico,MEX,2023,Yes,North America,Regulated,Mexico,2023.0,603.8913106867179,31125.6931127651,Mexico,6.40339423254784,10.345788902202282,1
Moldova,MDA,2023,No,Europe,Not regulated,Republic of Moldova,2023.0,1060.8132551100343,38357.78623252169,Moldova,6.9667911147438355,10.554712817022416,0
