country,iso_code,Year,regulation,region,regulation_label,ihme_country,death_rate,daly_rate,country_for_merge,reg_binary,log_death_rate,log_daly_rate,wb_country_name,wb_region,income_group,lending_type,gdp_per_capita_ppp_2021,gdp_per_capita_ppp_2021_year,gdp_per_capita_ppp_2021_lag,urban_population_pct,urban_population_pct_year,urban_population_pct_lag,population_age_65plus_pct,population_age_65plus_pct_year,population_age_65plus_pct_lag,health_expenditure_per_capita_usd,health_expenditure_per_capita_usd_year,health_expenditure_per_capita_usd_lag,uhc_service_coverage_index,uhc_service_coverage_index_year,uhc_service_coverage_index_lag,manufacturing_value_added_pct_gdp,manufacturing_value_added_pct_gdp_year,manufacturing_value_added_pct_gdp_lag,pm25_mean_annual_ug_m3,pm25_mean_annual_ug_m3_year,pm25_mean_annual_ug_m3_lag,log_gdp_per_capita_ppp,log_health_expenditure_per_capita
Barbados,BRB,2023,No,North America,Not regulated,Barbados,1082.3166073201462,37341.25712750408,Barbados,0,6.986859029653621,10.527854083575164,Barbados,Latin America & Caribbean ,High income,IBRD,20494.5343836936,2022.0,0.0,59.3538514107686,2022,0,15.6987864748263,2022,0,1302.0592041,2022.0,0.0,,,,5.15242843434544,2022.0,0.0,10.7984053903982,2022.0,0.0,9.927962306455248,7.172470012853947
Belarus,BLR,2023,Yes,Europe,Regulated,Belarus,1293.7255266460336,42154.490149378784,Belarus,1,7.165281340232658,10.649096485618204,Belarus,Europe & Central Asia,Upper middle income,IBRD,26537.5083081674,2022.0,0.0,78.4732787892908,2022,0,16.5067849004664,2022,0,529.01873779,2022.0,0.0,,,,23.9940952095839,2022.0,0.0,11.3970306974406,2022.0,0.0,10.18635210088715,6.272912360241973
Belgium,BEL,2023,Yes,Europe,Regulated,Belgium,962.1476231227806,30620.536156561622,Belgium,1,6.869167893282371,10.329426179070186,Belgium,Europe & Central Asia,High income,Not classified,62602.9270469765,2022.0,0.0,87.489200269855,2022,0,19.7671927585206,2022,0,5487.59277344,2022.0,0.0,,,,12.5247695210532,2022.0,0.0,10.074123834212,2022.0,0.0,11.044583287500412,8.610427176225835
Belize,BLZ,2023,No,North America,Not regulated,Belize,488.9393134843013,27749.51792986344,Belize,0,6.192238378469333,10.230973747126876,Belize,Latin America & Caribbean ,Upper middle income,Blend,12565.3645829576,2022.0,0.0,42.1373251262137,2022,0,4.70833033299978,2022,0,298.01553345,2022.0,0.0,,,,6.69017982776567,2022.0,0.0,16.0563950590085,2022.0,0.0,9.438779045987626,5.700495523379055
Benin,BEN,2023,No,Africa,Not regulated,Benin,672.8895709810423,48147.86898768963,Benin,0,6.511581231457794,10.782032158462645,Benin,Sub-Saharan Africa ,Lower middle income,IDA,3588.32519938147,2022.0,0.0,50.9627000010887,2022,0,3.06253123069402,2022,0,37.76291275,2022.0,0.0,,,,9.82357547560919,2022.0,0.0,41.496929120914,2022.0,0.0,8.185719497068254,3.657463932547883
Bhutan,BTN,2023,No,Asia,Not regulated,Bhutan,667.3283804159244,31906.881852530405,Bhutan,0,6.503282249225354,10.370576997560368,Bhutan,South Asia,Lower middle income,IDA,14061.3120274588,2022.0,0.0,40.9365143617581,2022,0,6.24575417667363,2022,0,138.00679016,2022.0,0.0,,,,8.72709229133396,2022.0,0.0,25.657638995936,2022.0,0.0,9.551253591921174,4.934522782009508
Bosnia and Herzegovina,BIH,2023,No,Europe,Not regulated,Bosnia and Herzegovina,1182.9526813812038,37910.2123168161,Bosnia and Herzegovina,0,7.075768864345956,10.54297580904379,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,19298.117076437,2022.0,0.0,51.0215287060993,2022,0,21.1032694063471,2022,0,667.29681396,2022.0,0.0,,,,14.3713830291935,2022.0,0.0,27.1094617563555,2022.0,0.0,9.867814626511665,6.504732407125741
Brazil,BRA,2023,Yes,South America,Regulated,Brazil,693.2238067410108,32898.25896631066,Brazil,1,6.541352900501895,10.401175016396085,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,18554.0461828566,2022.0,0.0,87.349556243881,2022,0,10.251784783293,2022,0,871.27526855,2022.0,0.0,,,,13.0740816282273,2022.0,0.0,14.946073685839,2022.0,0.0,9.828497062462585,6.771105049036788
Bulgaria,BGR,2023,Yes,Europe,Regulated,Bulgaria,1470.9879047000022,44102.6483953104,Bulgaria,1,7.293689498065935,10.694275113947178,Bulgaria,Europe & Central Asia,High income,IBRD,32433.6587569626,2022.0,0.0,73.4799164005224,2022,0,21.6972972212748,2022,0,1066.69189453,2022.0,0.0,,,,,,,22.8155719307165,2022.0,0.0,10.38698284476439,6.973254489631604
Burkina Faso,BFA,2023,No,Africa,Not regulated,Burkina Faso,649.3669619775732,46975.922601605766,Burkina Faso,0,6.475997983686524,10.75739046435715,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,2469.19956941259,2022.0,0.0,27.2791369742712,2022,0,2.59465547584363,2022,0,64.38339996,2022.0,0.0,,,,10.2229346053963,2022.0,0.0,41.5553296753411,2022.0,0.0,7.812054223691127,4.180268403002992
