country,iso_code,Year,regulation,region,regulation_label,ihme_country,death_rate,daly_rate,country_for_merge,reg_binary,log_death_rate,log_daly_rate
Ecuador,ECU,2023,Yes,South America,Regulated,Ecuador,571.3638082488354,29479.33740610072,Ecuador,1,6.348026149059216,10.29144487000254
Egypt,EGY,2023,Yes,Africa,Regulated,Egypt,620.5697715712599,30364.73728004956,Egypt,1,6.430638042434916,10.321037256229355
El Salvador,SLV,2023,No,North America,Not regulated,El Salvador,761.133250780995,33613.41844055413,El Salvador,0,6.634808442114352,10.422680624578799
Estonia,EST,2023,Yes,Europe,Regulated,Estonia,1204.331091869229,36800.81734149,Estonia,1,7.093679581311922,10.513275334276951
Eswatini,SWZ,2023,No,Africa,Not regulated,Eswatini,996.2461777903872,57693.78952829716,Eswatini,0,6.903994393500214,10.96290481287825
Ethiopia,ETH,2023,Yes,Africa,Regulated,Ethiopia,699.3798141768957,45889.64552101202,Ethiopia,1,6.550193962584083,10.733994782822371
Fiji,FJI,2023,No,Oceania,Not regulated,Fiji,894.3005479586715,39781.34238923753,Fiji,0,6.7960419020754985,10.591153297168857
Finland,FIN,2023,Yes,Europe,Regulated,Finland,1102.6277881799006,33119.18947433773,Finland,1,7.005451508250397,10.407868135806558
France,FRA,2023,Yes,Europe,Regulated,France,907.1265673023064,30100.34204123608,France,1,6.810281985365646,10.312291814168619
Gabon,GAB,2023,No,Africa,Not regulated,Gabon,745.2622401952981,42183.69015484912,Gabon,0,6.613736156704147,10.649788936096309
Gambia,GMB,2023,No,Africa,Not regulated,Gambia,634.3969653239628,42041.40457680703,Gambia,0,6.452674886771938,10.64641023491819
Georgia,GEO,2023,Yes,Asia,Regulated,Georgia,1218.4192177884129,39833.26193371865,Georgia,1,7.105309574428008,10.59245756922504
Germany,DEU,2023,Yes,Europe,Regulated,Germany,1210.9533486442133,35278.85297997194,Germany,1,7.099163219808761,10.471038997686646
Ghana,GHA,2023,No,Africa,Not regulated,Ghana,719.9273416486532,42507.81489993666,Ghana,0,6.579150292541032,10.657443218007163
Greece,GRC,2023,Yes,Europe,Regulated,Greece,1236.7362113428942,35604.803168299266,Greece,1,7.120231100939455,10.48023582819702
